transaction_id,customer_id,visit_datetime,items,total_spend
TX-000030,CUST-027,2025-01-03 02:49:04,Breakfast Sandwich | Latte | Americano | Drip Coffee,16.5
TX-000031,CUST-012,2025-01-03 05:39:42,Drip Coffee | Latte | Tea,10.0
TX-000032,CUST-004,2025-01-03 08:02:17,Drip Coffee | Tea | Latte,10.0
TX-000033,CUST-049,2025-01-03 08:53:23,Drip Coffee,2.5
TX-000034,CUST-020,2025-01-03 10:20:15,Latte | Cake Slice | Breakfast Sandwich | Pasta | Croissant,31.5
TX-000035,CUST-037,2025-01-03 12:44:03,Cake Slice | Muffin | Tea,12.0
TX-000036,CUST-143,2025-01-03 13:08:36,Tea | Drip Coffee,5.5
TX-000037,CUST-009,2025-01-03 13:49:31,Croissant | Muffin | Breakfast Sandwich,14.0
TX-000038,CUST-010,2025-01-03 14:01:11,Pasta | Latte | Cake Slice | Muffin,24.5
TX-000039,CUST-105,2025-01-03 14:43:29,Cake Slice | Latte | Muffin | Americano,16.5
TX-000040,CUST-002,2025-01-03 18:29:05,Pasta | Breakfast Sandwich | Americano | Cake Slice,26.0
TX-000041,CUST-042,2025-01-03 18:41:56,Croissant | Drip Coffee,6.5
TX-000042,CUST-099,2025-01-03 19:18:18,Drip Coffee | Breakfast Sandwich | Latte,13.5
TX-000043,CUST-131,2025-01-03 19:55:48,Muffin,3.5
TX-000044,CUST-093,2025-01-03 20:12:34,Pasta | Drip Coffee | Breakfast Sandwich | Croissant,24.0
TX-000045,CUST-027,2025-01-03 20:22:42,Breakfast Sandwich | Tea | Latte | Cake Slice | Americano,22.5
TX-000046,CUST-051,2025-01-04 03:07:34,Drip Coffee,2.5
TX-000047,CUST-052,2025-01-04 03:30:16,Tea | Drip Coffee,5.5
TX-000048,CUST-118,2025-01-04 03:32:31,Muffin,3.5
TX-000049,CUST-013,2025-01-04 08:56:54,Breakfast Sandwich | Latte | Croissant,15.0
TX-000050,CUST-065,2025-01-04 13:27:17,Drip Coffee,2.5
TX-000051,CUST-020,2025-01-04 16:08:01,Tea | Latte | Drip Coffee | Breakfast Sandwich,16.5
TX-000052,CUST-016,2025-01-04 16:44:15,Breakfast Sandwich | Muffin | Salad,18.5
TX-000053,CUST-073,2025-01-04 16:47:33,Drip Coffee,2.5
TX-000054,CUST-145,2025-01-04 16:50:39,Drip Coffee,2.5
TX-000055,CUST-060,2025-01-04 19:45:29,Cake Slice | Americano,8.5
TX-000056,CUST-019,2025-01-04 22:15:33,Breakfast Sandwich | Latte | Salad,19.5
TX-000057,CUST-028,2025-01-04 22:49:11,Americano | Pasta | Salad | Breakfast Sandwich,29.0
TX-000058,CUST-006,2025-01-04 22:50:17,Cake Slice | Latte | Americano,13.0
TX-000059,CUST-060,2025-01-05 00:42:30,Muffin | Tea,6.5
TX-000060,CUST-026,2025-01-05 01:48:31,Tea | Cake Slice | Latte | Breakfast Sandwich,19.5
TX-000061,CUST-040,2025-01-05 02:39:58,Drip Coffee | Pasta,13.5
TX-000062,CUST-009,2025-01-05 03:23:14,Breakfast Sandwich | Latte | Cake Slice | Americano | Tea,22.5
TX-000063,CUST-024,2025-01-05 03:42:56,Croissant | Latte | Breakfast Sandwich | Muffin,18.5
TX-000064,CUST-119,2025-01-05 04:22:58,Croissant,4.0
TX-000065,CUST-022,2025-01-05 06:36:54,Cake Slice | Salad | Muffin | Drip Coffee | Breakfast Sandwich,26.5
TX-000066,CUST-023,2025-01-05 07:25:29,Breakfast Sandwich | Latte | Americano | Cake Slice | Salad,28.0
TX-000067,CUST-049,2025-01-05 08:14:04,Americano,3.0
TX-000068,CUST-070,2025-01-05 08:20:42,Drip Coffee | Cake Slice,8.0
TX-000069,CUST-116,2025-01-05 10:58:25,Tea | Breakfast Sandwich,9.5
TX-000070,CUST-095,2025-01-05 13:02:39,Breakfast Sandwich | Cake Slice | Croissant,16.0
TX-000071,CUST-100,2025-01-05 13:22:57,Salad | Pasta,19.5
TX-000072,CUST-026,2025-01-05 16:31:34,Muffin | Breakfast Sandwich | Latte,14.5
TX-000073,CUST-017,2025-01-05 19:09:36,Breakfast Sandwich | Drip Coffee | Cake Slice | Americano | Tea,20.5
TX-000074,CUST-120,2025-01-06 00:34:36,Muffin,3.5
TX-000075,CUST-062,2025-01-06 00:48:40,Drip Coffee | Tea,5.5
TX-000076,CUST-063,2025-01-06 01:26:22,Croissant,4.0
TX-000077,CUST-125,2025-01-06 03:19:50,Drip Coffee | Muffin,6.0
TX-000078,CUST-011,2025-01-06 03:44:50,Croissant | Drip Coffee | Americano,9.5
TX-000079,CUST-017,2025-01-06 04:36:37,Salad | Breakfast Sandwich | Pasta | Drip Coffee | Cake Slice,34.0
TX-000080,CUST-070,2025-01-06 04:45:15,Drip Coffee | Tea,5.5
TX-000081,CUST-005,2025-01-06 05:32:14,Breakfast Sandwich | Muffin | Pasta,21.0
TX-000082,CUST-025,2025-01-06 09:31:40,Cake Slice | Pasta | Croissant,20.5
TX-000083,CUST-036,2025-01-06 13:34:34,Muffin | Americano | Latte,11.0
TX-000084,CUST-033,2025-01-06 14:39:21,Cake Slice | Breakfast Sandwich | Drip Coffee,14.5
TX-000085,CUST-005,2025-01-06 17:27:51,Muffin | Latte | Breakfast Sandwich | Salad | Croissant,27.0
TX-000086,CUST-009,2025-01-06 21:31:33,Americano | Croissant | Latte | Tea | Muffin,18.0
TX-000087,CUST-034,2025-01-06 22:16:15,Breakfast Sandwich | Salad | Cake Slice | Pasta,31.5
TX-000088,CUST-120,2025-01-06 22:46:16,Pasta | Latte,15.5
TX-000089,CUST-126,2025-01-07 00:52:48,Latte | Americano,7.5
TX-000090,CUST-007,2025-01-07 02:50:04,Breakfast Sandwich | Latte | Croissant | Cake Slice | Muffin,24.0
TX-000091,CUST-029,2025-01-07 06:31:46,Salad | Pasta | Drip Coffee | Breakfast Sandwich | Cake Slice,34.0
TX-000092,CUST-092,2025-01-07 11:46:12,Pasta | Breakfast Sandwich | Latte | Salad,30.5
TX-000093,CUST-140,2025-01-07 11:54:53,Pasta | Americano,14.0
TX-000094,CUST-028,2025-01-07 12:54:26,Latte | Croissant | Salad,17.0
TX-000095,CUST-006,2025-01-07 14:43:26,Breakfast Sandwich | Drip Coffee | Salad | Latte,22.0
TX-000096,CUST-047,2025-01-07 17:41:13,Drip Coffee | Tea,5.5
TX-000097,CUST-007,2025-01-07 20:28:41,Cake Slice | Salad | Pasta | Drip Coffee | Croissant,31.5
TX-000098,CUST-073,2025-01-07 23:01:07,Drip Coffee | Tea,5.5
TX-000099,CUST-021,2025-01-07 23:35:22,Breakfast Sandwich | Pasta | Drip Coffee | Croissant,24.0
TX-000100,CUST-141,2025-01-07 23:38:09,Americano,3.0
TX-000101,CUST-046,2025-01-08 02:40:29,Muffin,3.5
TX-000102,CUST-105,2025-01-08 04:18:29,Breakfast Sandwich | Americano | Croissant | Latte,18.0
TX-000103,CUST-012,2025-01-08 04:49:01,Breakfast Sandwich | Croissant | Latte,15.0
TX-000104,CUST-074,2025-01-08 08:00:08,Drip Coffee | Muffin,6.0
TX-000105,CUST-050,2025-01-08 08:53:05,Drip Coffee | Americano,5.5
TX-000106,CUST-025,2025-01-08 12:06:47,Latte | Breakfast Sandwich | Tea | Croissant | Salad,26.5
TX-000107,CUST-055,2025-01-08 12:16:49,Muffin,3.5
TX-000108,CUST-135,2025-01-08 16:55:23,Americano | Croissant,7.0
TX-000109,CUST-039,2025-01-08 19:36:36,Drip Coffee,2.5
TX-000110,CUST-034,2025-01-08 23:47:55,Latte | Cake Slice | Croissant | Tea,17.0
TX-000111,CUST-114,2025-01-09 03:02:46,Cake Slice | Breakfast Sandwich | Drip Coffee,14.5
TX-000112,CUST-138,2025-01-09 04:27:07,Salad,8.5
TX-000113,CUST-148,2025-01-09 06:18:13,Cake Slice,5.5
TX-000114,CUST-023,2025-01-09 06:40:55,Salad | Tea | Breakfast Sandwich | Latte | Croissant,26.5
TX-000115,CUST-074,2025-01-09 09:14:51,Muffin | Americano,6.5
TX-000116,CUST-021,2025-01-09 12:39:28,Drip Coffee | Pasta | Salad | Croissant | Muffin,29.5
TX-000117,CUST-087,2025-01-09 13:39:44,Latte | Pasta,15.5
TX-000118,CUST-005,2025-01-09 13:51:00,Tea | Drip Coffee | Cake Slice | Pasta | Muffin,25.5
TX-000119,CUST-013,2025-01-09 15:14:24,Americano | Latte | Muffin | Pasta,22.0
TX-000120,CUST-090,2025-01-09 16:21:49,Cake Slice | Breakfast Sandwich,12.0
TX-000121,CUST-023,2025-01-09 17:05:58,Muffin | Drip Coffee | Salad | Pasta | Latte,30.0
TX-000122,CUST-138,2025-01-10 00:58:27,Muffin | Pasta,14.5
TX-000123,CUST-059,2025-01-10 03:58:42,Muffin,3.5
TX-000124,CUST-031,2025-01-10 06:13:07,Latte | Muffin | Croissant,12.0
TX-000125,CUST-119,2025-01-10 06:14:57,Croissant,4.0
TX-000126,CUST-009,2025-01-10 06:36:30,Latte | Americano | Breakfast Sandwich,14.0
TX-000127,CUST-037,2025-01-10 10:58:10,Drip Coffee | Breakfast Sandwich | Muffin | Pasta | Tea,26.5
TX-000128,CUST-091,2025-01-10 12:15:58,Pasta | Tea,14.0
TX-000129,CUST-126,2025-01-10 13:02:21,Muffin,3.5
TX-000130,CUST-149,2025-01-10 13:51:57,Drip Coffee,2.5
TX-000131,CUST-019,2025-01-10 14:22:41,Breakfast Sandwich | Drip Coffee | Pasta | Latte,24.5
TX-000132,CUST-011,2025-01-10 15:33:19,Breakfast Sandwich | Cake Slice | Croissant,16.0
TX-000133,CUST-030,2025-01-10 18:01:12,Muffin | Cake Slice | Drip Coffee,11.5
TX-000134,CUST-115,2025-01-10 18:33:22,Drip Coffee,2.5
TX-000135,CUST-059,2025-01-10 21:17:58,Americano,3.0
TX-000136,CUST-036,2025-01-11 02:23:16,Breakfast Sandwich | Drip Coffee | Cake Slice | Pasta,25.5
TX-000137,CUST-027,2025-01-11 07:59:57,Cake Slice | Tea | Croissant,12.5
TX-000138,CUST-003,2025-01-11 12:25:05,Breakfast Sandwich | Croissant | Salad | Latte,23.5
TX-000139,CUST-047,2025-01-11 15:20:20,Muffin,3.5
TX-000140,CUST-072,2025-01-11 17:22:53,Americano,3.0
TX-000141,CUST-148,2025-01-11 17:50:10,Drip Coffee,2.5
TX-000142,CUST-021,2025-01-11 22:44:37,Americano | Breakfast Sandwich | Cake Slice | Croissant | Pasta,30.0
TX-000143,CUST-007,2025-01-11 23:01:59,Croissant | Muffin | Americano,10.5
TX-000144,CUST-034,2025-01-12 00:15:04,Breakfast Sandwich | Drip Coffee | Salad | Latte,22.0
TX-000145,CUST-012,2025-01-12 01:03:55,Cake Slice | Tea | Breakfast Sandwich,15.0
TX-000146,CUST-149,2025-01-12 03:38:01,Latte | Croissant,8.5
TX-000147,CUST-135,2025-01-12 06:57:24,Pasta | Breakfast Sandwich,17.5
TX-000148,CUST-057,2025-01-12 07:25:52,Tea | Drip Coffee,5.5
TX-000149,CUST-101,2025-01-12 08:30:08,Breakfast Sandwich | Drip Coffee,9.0
TX-000150,CUST-046,2025-01-12 12:12:57,Croissant,4.0
TX-000151,CUST-035,2025-01-12 12:47:09,Breakfast Sandwich | Americano | Tea | Cake Slice,18.0
TX-000152,CUST-024,2025-01-12 14:34:31,Croissant | Breakfast Sandwich | Cake Slice | Drip Coffee | Tea,21.5
TX-000153,CUST-118,2025-01-12 14:50:16,Cake Slice,5.5
TX-000154,CUST-036,2025-01-12 18:29:50,Americano | Muffin | Pasta | Cake Slice,23.0
TX-000155,CUST-030,2025-01-12 18:30:56,Cake Slice | Muffin | Croissant,13.0
TX-000156,CUST-012,2025-01-12 20:05:33,Drip Coffee | Pasta | Breakfast Sandwich,20.0
TX-000157,CUST-025,2025-01-12 21:44:01,Croissant | Pasta | Latte | Cake Slice,25.0
TX-000158,CUST-129,2025-01-12 22:06:33,Americano | Latte,7.5
TX-000159,CUST-056,2025-01-12 22:40:43,Americano | Drip Coffee,5.5
TX-000160,CUST-042,2025-01-12 23:33:19,Drip Coffee,2.5
TX-000161,CUST-130,2025-01-13 01:01:26,Salad,8.5
TX-000162,CUST-111,2025-01-13 03:58:58,Latte | Breakfast Sandwich,11.0
TX-000163,CUST-127,2025-01-13 08:21:26,Salad,8.5
TX-000164,CUST-002,2025-01-13 09:32:12,Americano | Cake Slice | Breakfast Sandwich | Drip Coffee | Latte,22.0
TX-000165,CUST-022,2025-01-13 10:13:13,Latte | Breakfast Sandwich | Salad,19.5
TX-000166,CUST-044,2025-01-13 12:06:37,Tea,3.0
TX-000167,CUST-085,2025-01-13 13:21:11,Latte | Salad,13.0
TX-000168,CUST-021,2025-01-13 16:32:13,Cake Slice | Latte | Croissant | Salad | Breakfast Sandwich,29.0
TX-000169,CUST-039,2025-01-13 17:25:53,Drip Coffee,2.5
TX-000170,CUST-019,2025-01-13 19:03:24,Croissant | Cake Slice | Drip Coffee,12.0
TX-000171,CUST-024,2025-01-13 20:13:18,Breakfast Sandwich | Cake Slice | Latte | Pasta,27.5
TX-000172,CUST-003,2025-01-13 21:20:01,Americano | Breakfast Sandwich | Latte | Pasta | Drip Coffee,27.5
TX-000173,CUST-146,2025-01-13 21:28:26,Tea | Drip Coffee,5.5
TX-000174,CUST-024,2025-01-13 22:00:49,Latte | Breakfast Sandwich | Salad,19.5
TX-000175,CUST-034,2025-01-13 23:26:58,Drip Coffee | Latte | Croissant,11.0
TX-000176,CUST-012,2025-01-14 01:01:54,Drip Coffee | Croissant | Americano | Tea,12.5
TX-000177,CUST-013,2025-01-14 02:32:48,Cake Slice | Salad | Americano,17.0
TX-000178,CUST-145,2025-01-14 09:13:31,Americano,3.0
TX-000179,CUST-026,2025-01-14 12:33:39,Americano | Cake Slice | Pasta | Breakfast Sandwich,26.0
TX-000180,CUST-057,2025-01-14 13:16:50,Muffin | Drip Coffee,6.0
TX-000181,CUST-041,2025-01-14 14:50:25,Americano | Muffin,6.5
TX-000182,CUST-079,2025-01-14 18:14:46,Breakfast Sandwich | Latte | Salad,19.5
TX-000183,CUST-081,2025-01-14 20:11:43,Latte | Breakfast Sandwich | Pasta | Salad,30.5
TX-000184,CUST-067,2025-01-14 22:41:55,Americano,3.0
TX-000185,CUST-019,2025-01-14 22:42:17,Drip Coffee | Cake Slice | Latte | Breakfast Sandwich | Americano,22.0
TX-000186,CUST-038,2025-01-15 04:50:49,Croissant | Americano | Latte | Cake Slice | Salad,25.5
TX-000187,CUST-034,2025-01-15 05:45:33,Breakfast Sandwich | Latte | Cake Slice,16.5
TX-000188,CUST-015,2025-01-15 06:37:39,Latte | Muffin | Croissant,12.0
TX-000189,CUST-014,2025-01-15 07:04:32,Cake Slice | Drip Coffee | Croissant,12.0
TX-000190,CUST-116,2025-01-15 07:17:41,Latte,4.5
TX-000191,CUST-041,2025-01-15 12:39:42,Muffin,3.5
TX-000192,CUST-058,2025-01-15 16:44:23,Americano,3.0
TX-000193,CUST-010,2025-01-15 17:54:41,Cake Slice | Latte | Salad,18.5
TX-000194,CUST-003,2025-01-15 18:31:29,Pasta | Cake Slice | Americano | Salad | Latte,32.5
TX-000195,CUST-069,2025-01-16 03:09:38,Tea | Americano,6.0
TX-000196,CUST-030,2025-01-16 05:22:54,Pasta | Croissant | Cake Slice | Breakfast Sandwich,27.0
TX-000197,CUST-059,2025-01-16 06:31:29,Croissant | Americano,7.0
TX-000198,CUST-053,2025-01-16 07:56:58,Americano,3.0
TX-000199,CUST-019,2025-01-16 10:09:10,Breakfast Sandwich | Salad | Latte | Drip Coffee,22.0
TX-000200,CUST-125,2025-01-16 14:28:03,Croissant,4.0
TX-000201,CUST-135,2025-01-16 14:47:16,Muffin,3.5
TX-000202,CUST-030,2025-01-16 16:49:52,Americano | Drip Coffee | Breakfast Sandwich,12.0
TX-000203,CUST-065,2025-01-16 19:19:40,Drip Coffee | Muffin,6.0
TX-000204,CUST-022,2025-01-16 20:42:49,Cake Slice | Pasta | Breakfast Sandwich | Croissant | Drip Coffee,29.5
TX-000205,CUST-004,2025-01-16 21:09:08,Americano | Salad | Croissant | Drip Coffee,18.0
TX-000206,CUST-025,2025-01-16 21:14:56,Salad | Americano | Cake Slice,17.0
TX-000207,CUST-033,2025-01-16 21:32:51,Croissant | Breakfast Sandwich | Drip Coffee | Cake Slice,18.5
TX-000208,CUST-020,2025-01-17 01:07:17,Cake Slice | Croissant | Drip Coffee,12.0
TX-000209,CUST-145,2025-01-17 03:16:04,Tea,3.0
TX-000210,CUST-021,2025-01-17 03:32:41,Salad | Muffin | Breakfast Sandwich,18.5
TX-000211,CUST-137,2025-01-17 04:51:21,Breakfast Sandwich | Drip Coffee,9.0
TX-000212,CUST-017,2025-01-17 09:28:52,Salad | Americano | Drip Coffee,14.0
TX-000213,CUST-006,2025-01-17 11:40:47,Croissant | Pasta | Breakfast Sandwich | Americano | Tea,27.5
TX-000214,CUST-098,2025-01-17 12:19:02,Drip Coffee | Cake Slice | Pasta | Tea,22.0
TX-000215,CUST-046,2025-01-17 13:29:22,Croissant | Drip Coffee,6.5
TX-000216,CUST-028,2025-01-17 14:27:33,Tea | Breakfast Sandwich | Drip Coffee,12.0
TX-000217,CUST-114,2025-01-17 15:41:06,Croissant | Latte,8.5
TX-000218,CUST-074,2025-01-17 17:23:31,Americano | Drip Coffee,5.5
TX-000219,CUST-033,2025-01-17 17:38:10,Cake Slice | Salad | Pasta | Muffin,28.5
TX-000220,CUST-017,2025-01-17 20:03:01,Americano | Croissant | Latte | Drip Coffee,14.0
TX-000221,CUST-021,2025-01-17 21:41:46,Latte | Cake Slice | Pasta | Croissant,25.0
TX-000222,CUST-082,2025-01-17 22:42:42,Pasta | Cake Slice | Muffin | Breakfast Sandwich,26.5
TX-000223,CUST-003,2025-01-18 02:03:26,Cake Slice | Muffin | Drip Coffee,11.5
TX-000224,CUST-033,2025-01-18 03:26:54,Pasta | Americano | Breakfast Sandwich | Drip Coffee | Latte,27.5
TX-000225,CUST-010,2025-01-18 03:59:26,Pasta | Cake Slice | Latte | Breakfast Sandwich,27.5
TX-000226,CUST-045,2025-01-18 05:43:14,Croissant | Drip Coffee,6.5
TX-000227,CUST-075,2025-01-18 06:05:46,Americano | Tea,6.0
TX-000228,CUST-027,2025-01-18 06:20:08,Tea | Salad | Muffin | Americano,18.0
TX-000229,CUST-123,2025-01-18 08:07:53,Breakfast Sandwich,6.5
TX-000230,CUST-123,2025-01-18 08:53:59,Tea,3.0
TX-000231,CUST-031,2025-01-18 10:00:24,Americano | Breakfast Sandwich | Cake Slice,15.0
TX-000232,CUST-036,2025-01-18 12:28:46,Drip Coffee | Breakfast Sandwich | Cake Slice,14.5
TX-000233,CUST-066,2025-01-18 14:14:38,Drip Coffee | Tea,5.5
TX-000234,CUST-029,2025-01-18 16:08:10,Muffin | Cake Slice | Americano,12.0
TX-000235,CUST-002,2025-01-18 16:30:38,Salad | Muffin | Latte | Tea,19.5
TX-000236,CUST-012,2025-01-18 16:47:18,Salad | Cake Slice | Americano,17.0
TX-000237,CUST-037,2025-01-18 17:41:29,Croissant | Latte | Salad,17.0
TX-000238,CUST-028,2025-01-18 19:02:05,Muffin | Breakfast Sandwich | Salad | Cake Slice,24.0
TX-000239,CUST-132,2025-01-18 19:07:36,Latte | Muffin,8.0
TX-000240,CUST-076,2025-01-18 23:11:50,Croissant,4.0
TX-000241,CUST-113,2025-01-19 01:31:06,Breakfast Sandwich | Latte,11.0
TX-000242,CUST-015,2025-01-19 02:06:37,Croissant | Latte | Drip Coffee,11.0
TX-000243,CUST-023,2025-01-19 03:21:06,Muffin | Salad | Breakfast Sandwich,18.5
TX-000244,CUST-054,2025-01-19 07:20:25,Drip Coffee,2.5
TX-000245,CUST-003,2025-01-19 07:48:16,Muffin | Breakfast Sandwich | Salad | Drip Coffee,21.0
TX-000246,CUST-045,2025-01-19 09:07:01,Americano | Muffin,6.5
TX-000247,CUST-003,2025-01-19 10:17:25,Cake Slice | Muffin | Salad | Latte,22.0
TX-000248,CUST-056,2025-01-19 10:19:55,Drip Coffee | Tea,5.5
TX-000249,CUST-136,2025-01-19 13:19:43,Salad,8.5
TX-000250,CUST-012,2025-01-19 14:32:38,Muffin | Pasta | Drip Coffee | Breakfast Sandwich | Americano,26.5
TX-000251,CUST-036,2025-01-19 16:13:49,Cake Slice | Salad | Muffin,17.5
TX-000252,CUST-078,2025-01-19 16:50:11,Drip Coffee | Americano,5.5
TX-000253,CUST-038,2025-01-19 16:58:29,Muffin | Americano | Breakfast Sandwich,13.0
TX-000254,CUST-022,2025-01-19 17:37:29,Breakfast Sandwich | Croissant | Cake Slice | Americano,19.0
TX-000255,CUST-118,2025-01-19 20:13:00,Muffin | Latte,8.0
TX-000256,CUST-012,2025-01-19 21:04:40,Americano | Croissant | Salad | Latte,20.0
TX-000257,CUST-072,2025-01-20 00:11:01,Muffin | Drip Coffee,6.0
TX-000258,CUST-117,2025-01-20 00:37:59,Pasta | Breakfast Sandwich,17.5
TX-000259,CUST-038,2025-01-20 05:21:59,Americano | Cake Slice | Breakfast Sandwich | Drip Coffee,17.5
TX-000260,CUST-029,2025-01-20 07:23:14,Pasta | Cake Slice | Muffin,20.0
TX-000261,CUST-055,2025-01-20 07:58:44,Drip Coffee | Croissant,6.5
TX-000262,CUST-147,2025-01-20 08:30:32,Breakfast Sandwich | Tea,9.5
TX-000263,CUST-051,2025-01-20 14:31:07,Muffin | Croissant,7.5
TX-000264,CUST-032,2025-01-20 17:13:24,Cake Slice | Americano | Breakfast Sandwich | Latte,19.5
TX-000265,CUST-110,2025-01-20 17:40:06,Salad | Americano | Drip Coffee | Cake Slice,19.5
TX-000266,CUST-070,2025-01-20 19:43:33,Tea | Drip Coffee,5.5
TX-000267,CUST-038,2025-01-20 20:40:54,Salad | Cake Slice | Latte | Breakfast Sandwich,25.0
TX-000268,CUST-079,2025-01-20 23:46:40,Salad | Breakfast Sandwich,15.0
TX-000269,CUST-053,2025-01-21 00:30:28,Tea,3.0
TX-000270,CUST-052,2025-01-21 01:16:18,Tea | Drip Coffee,5.5
TX-000271,CUST-042,2025-01-21 02:53:51,Americano | Muffin,6.5
TX-000272,CUST-095,2025-01-21 03:20:25,Drip Coffee | Latte | Breakfast Sandwich | Pasta,24.5
TX-000273,CUST-085,2025-01-21 08:31:28,Tea | Americano | Croissant | Salad,18.5
TX-000274,CUST-118,2025-01-21 08:42:33,Breakfast Sandwich | Latte,11.0
TX-000275,CUST-043,2025-01-21 08:42:47,Tea | Muffin,6.5
TX-000276,CUST-059,2025-01-21 13:51:38,Tea | Drip Coffee,5.5
TX-000277,CUST-142,2025-01-21 17:28:12,Muffin | Breakfast Sandwich,10.0
TX-000278,CUST-117,2025-01-21 17:49:19,Muffin | Breakfast Sandwich,10.0
TX-000279,CUST-093,2025-01-21 18:24:37,Salad | Breakfast Sandwich | Pasta,26.0
TX-000280,CUST-019,2025-01-21 20:33:59,Breakfast Sandwich | Salad | Latte,19.5
TX-000281,CUST-056,2025-01-21 21:12:24,Drip Coffee,2.5
TX-000282,CUST-016,2025-01-21 23:18:03,Salad | Cake Slice | Croissant | Latte,22.5
TX-000283,CUST-034,2025-01-21 23:23:28,Breakfast Sandwich | Drip Coffee | Muffin | Latte | Pasta,28.0
TX-000284,CUST-021,2025-01-21 23:26:15,Salad | Pasta | Breakfast Sandwich | Drip Coffee,28.5
TX-000285,CUST-021,2025-01-22 01:08:58,Croissant | Salad | Breakfast Sandwich | Latte,23.5
TX-000286,CUST-146,2025-01-22 02:59:29,Tea,3.0
TX-000287,CUST-012,2025-01-22 03:55:16,Breakfast Sandwich | Salad | Latte | Cake Slice,25.0
TX-000288,CUST-135,2025-01-22 05:03:29,Drip Coffee | Latte,7.0
TX-000289,CUST-007,2025-01-22 08:14:13,Breakfast Sandwich | Latte | Pasta,22.0
TX-000290,CUST-022,2025-01-22 08:21:14,Muffin | Pasta | Latte,19.0
TX-000291,CUST-005,2025-01-22 09:28:34,Latte | Breakfast Sandwich | Drip Coffee | Croissant | Tea,20.5
TX-000292,CUST-135,2025-01-22 09:46:37,Latte | Drip Coffee,7.0
TX-000293,CUST-121,2025-01-22 10:42:56,Drip Coffee | Tea,5.5
TX-000294,CUST-046,2025-01-22 11:35:59,Pasta,11.0
TX-000295,CUST-027,2025-01-22 17:15:34,Drip Coffee | Tea | Cake Slice,11.0
TX-000296,CUST-003,2025-01-22 18:22:44,Latte | Breakfast Sandwich | Croissant,15.0
TX-000297,CUST-008,2025-01-22 21:06:28,Latte | Salad | Drip Coffee,15.5
TX-000298,CUST-007,2025-01-23 00:54:59,Drip Coffee | Latte | Muffin | Pasta | Tea,24.5
TX-000299,CUST-004,2025-01-23 02:16:26,Croissant | Muffin | Cake Slice,13.0
TX-000300,CUST-031,2025-01-23 05:01:18,Cake Slice | Drip Coffee | Americano | Muffin,14.5
TX-000301,CUST-092,2025-01-23 07:25:48,Latte | Drip Coffee,7.0
TX-000302,CUST-020,2025-01-23 07:56:23,Americano | Pasta | Croissant | Muffin | Latte,26.0
TX-000303,CUST-035,2025-01-23 09:13:49,Latte | Croissant | Pasta,19.5
